"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0",
"2","2","2","2.000000","2","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","0","-9","0",
"3","2","3","2.800000","3","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","0","-18","1",
"4","2","4","3.500000","4","1","2","1.400000","1","2","3","2.700000","3","1","2","1.200000","1","1","2","1.300000","1","1","2","1.400000","1","2","2","2.000000","2","0","-27","2",
"5","3","5","4.300000","3","1","3","1.600000","2","2","3","2.800000","3","1","2","1.600000","2","1","2","1.400000","2","1","2","1.300000","1","2","2","2.000000","2","0","-35","3",
"6","3","6","5.200000","5","1","3","1.900000","2","3","3","3.000000","3","2","3","2.700000","3","1","2","1.300000","1","1","2","1.700000","2","2","3","2.900000","3","0","-42","5",
"7","4","7","5.900000","5","1","4","2.700000","2","3","3","3.000000","3","1","3","2.400000","1","0","2","1.300000","2","1","2","1.400000","1","2","3","2.900000","3","0","-49","7",
"8","5","8","7.000000","6","1","5","2.900000","4","3","4","3.500000","3","1","4","2.500000","1","1","3","2.000000","2","1","3","1.600000","3","3","3","3.000000","3","0","-55","10",
"9","4","9","7.700000","6","1","5","2.900000","5","3","4","3.300000","4","1","4","2.800000","3","1","2","1.900000","2","1","3","1.900000","2","3","3","3.000000","3","1","-60","13",
"10","3","10","7.500000","4","2","5","3.300000","2","3","4","3.600000","4","1","4","2.800000","3","1","2","1.800000","2","1","3","2.000000","3","3","4","3.800000","4","1","-65","17",
"11","3","11","8.299999","11","2","6","4.200000","4","3","4","3.800000","4","1","4","2.700000","3","1","3","1.900000","2","1","3","2.100000","2","1","4","2.600000","2","2","-69","21",
"12","5","12","9.099999","12","1","5","3.100000","4","3","4","3.900000","4","1","3","2.600000","3","1","3","1.800000","1","1","3","1.700000","1","1","4","2.500000","3","2","-73","25",
"13","5","13","10.500000","12","1","6","3.200000","1","4","4","4.000000","4","1","5","3.000000","5","1","3","1.800000","3","1","4","2.000000","2","1","4","3.000000","3","3","-76","30",
"14","7","14","11.200000","7","1","6","3.400000","4","4","4","4.000000","4","0","4","2.600000","3","0","3","1.700000","2","1","3","1.900000","1","1","5","2.600000","4","4","-78","35",
"15","8","15","12.900000","14","2","7","4.200000","4","4","4","4.000000","4","1","4","2.600000","3","1","3","1.900000","2","1","3","2.000000","1","1","4","2.700000","4","5","-80","41",
"16","8","15","12.500000","13","1","7","4.400000","5","4","5","4.300000","4","1","4","3.100000","3","1","3","1.900000","1","1","3","1.900000","3","1","5","3.100000","4","6","-81","47",
"17","8","17","14.000000","17","1","8","4.400000","5","4","5","4.200000","4","2","4","3.300000","3","1","3","1.900000","1","1","3","2.000000","2","1","4","2.500000","3","8","-82","53",
"18","10","18","14.200001","18","2","6","4.100000","6","4","5","4.500000","5","3","5","3.300000","4","1","3","1.900000","2","1","3","2.200000","3","1","4","2.300000","4","10","-82","60",
"19","8","19","14.199999","19","1","7","4.500000","4","4","5","4.400000","5","1","5","3.800000","4","1","3","1.900000","2","2","3","2.100000","2","2","5","3.700001","2","12","-81","67",
"20","5","19","13.900000","17","1","7","3.800000","3","4","5","4.600000","5","1","5","3.100000","3","1","3","1.800000","1","1","3","1.900000","2","2","5","3.600000","4","14","-80","75",
"21","10","21","15.699999","10","1","8","4.900000","6","4","5","4.400000","4","3","5","4.000000","3","1","3","2.200000","2","2","3","2.500000","2","1","5","3.300000","4","16","-78","83",
