"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0",
"2","2","2","2.000000","2","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","20","-1899","40",
"3","2","3","2.600000","3","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","40","-3719","121",
"4","2","4","2.900000","3","1","2","1.800000","2","2","3","2.200000","2","1","2","1.900000","2","1","2","1.800000","2","1","2","1.400000","1","1","2","1.700000","1","60","-5459","242",
"5","2","5","3.500000","4","1","3","2.000000","1","2","3","2.600000","3","1","3","2.400000","3","1","2","1.800000","2","1","2","1.700000","1","2","2","2.000000","2","80","-7119","403",
"6","2","6","4.300000","4","1","4","2.600000","1","3","3","3.000000","3","1","3","2.200000","1","1","3","2.300000","1","1","3","2.600000","3","2","3","2.300000","2","101","-8699","605",
"7","2","7","4.900000","5","1","5","2.500000","2","3","3","3.000000","3","3","4","3.500000","4","2","3","2.100000","2","2","3","2.300000","2","2","3","2.800000","3","121","-10198","847",
"8","2","8","5.000000","2","1","6","3.600000","6","3","3","3.000000","3","3","4","3.600000","4","2","4","2.800000","3","2","4","2.400000","2","2","3","2.900000","3","141","-11618","1130",
"9","2","8","4.600001","3","1","7","4.200000","7","3","4","3.300000","4","1","5","3.800000","5","2","4","3.100000","4","2","4","3.000000","3","3","3","3.000000","3","161","-12958","1453",
"10","3","10","6.500000","3","1","8","5.000000","4","3","4","3.400000","3","1","5","3.400000","3","2","5","2.900000","2","2","5","2.900000","2","3","4","3.400000","3","181","-14218","1817",
"11","3","11","7.400000","9","2","9","5.600000","9","3","4","3.400000","3","1","5","4.200000","5","2","5","3.400000","2","2","5","3.400000","5","3","4","3.800000","4","202","-15398","2221",
"12","3","12","6.300001","4","1","10","6.599999","9","3","4","3.700000","4","1","5","4.200000","5","2","6","4.000000","6","2","6","3.800000","2","4","5","4.900000","5","222","-16498","2665",
"13","2","11","7.200000","10","1","10","3.700000","1","4","4","4.000000","4","1","6","3.900000","3","2","6","3.900000","6","4","6","5.000000","6","4","5","4.700001","4","242","-17517","3150",
