"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0",
"2","2","2","2.000000","2","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","20","20","20",
"3","2","3","2.700000","2","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","40","40","40",
"4","2","4","2.700000","2","1","2","1.300000","1","2","3","2.300000","2","1","2","1.400000","1","1","2","1.200000","1","1","1","1.000000","1","1","2","1.600000","1","60","60","60",
"5","2","5","3.200000","3","1","2","1.600000","1","2","3","2.900000","3","1","3","1.900000","1","1","3","2.400000","3","1","3","2.100000","1","2","2","2.000000","2","80","80","80",
"6","2","6","4.300000","2","1","2","1.600000","1","3","3","3.000000","3","1","3","1.600000","1","1","4","2.900000","3","1","3","2.500000","3","2","3","2.400000","3","101","100","100",
"7","2","7","4.700000","7","1","2","1.500000","2","3","3","3.000000","3","1","3","2.000000","3","1","3","2.300000","1","1","3","2.300000","2","2","3","2.900000","3","121","121","120",
"8","2","8","5.099999","2","1","2","1.700000","1","3","4","3.200000","4","1","3","1.800000","1","1","2","1.500000","1","1","2","1.500000","2","2","3","2.800000","3","141","141","140",
"9","2","9","5.600000","7","1","2","1.700000","1","3","4","3.300000","3","1","3","2.000000","3","2","7","4.900000","7","1","7","4.700000","7","3","3","3.000000","3","161","161","160",
"10","2","9","5.500000","3","1","2","1.900000","2","3","4","3.500000","3","1","3","2.500000","3","1","2","1.600000","1","1","2","1.900000","1","3","4","3.400000","4","181","181","181",
"11","4","10","6.800000","4","1","2","1.800000","1","3","4","3.900000","3","1","3","2.800000","3","1","7","5.100000","1","1","8","4.100000","1","3","4","3.600000","4","202","201","201",
"12","2","12","7.000000","6","1","2","1.500000","2","3","4","3.900000","4","1","3","2.400000","2","1","2","1.600000","2","2","2","2.000000","2","1","4","3.300000","4","222","221","221",
