"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","301","301","301",
"2","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","477","340","382",
"3","1","2","1.300000","1","0","1","0.600000","1","2","2","2.000000","2","0","1","0.600000","1","0","0","0.000000","0","0","0","0.000000","0","0","1","0.200000","0","602","379","462",
"4","1","3","1.700000","1","0","2","0.500000","0","2","2","2.000000","2","0","1","0.300000","1","0","2","0.600000","0","0","2","0.500000","0","0","2","0.700000","1","698","418","541",
"5","1","4","1.900000","3","0","2","1.000000","2","2","3","2.700000","3","0","3","1.500000","1","0","2","0.800000","0","0","2","0.600000","0","0","2","1.200000","2","778","457","619",
"6","1","5","2.500000","5","0","2","1.400000","0","2","3","2.600000","3","0","3","1.500000","2","0","2","0.500000","0","0","2","0.400000","0","0","3","1.300000","2","845","495","695",
"7","1","4","2.200000","2","0","3","1.300000","0","3","3","3.000000","3","0","3","1.600000","0","0","2","0.600000","0","0","2","1.400000","2","0","3","2.100000","2","903","532","770",
"8","1","5","2.100000","3","0","3","0.700000","0","3","3","3.000000","3","0","4","1.500000","0","0","2","1.300000","2","0","2","0.500000","0","0","3","2.700000","3","954","569","844",
"9","1","6","3.100000","1","0","3","2.000000","3","3","4","3.400000","4","0","5","2.000000","4","0","3","1.800000","2","1","3","2.000000","1","0","3","2.400000","0","1000","605","916",
"10","1","9","5.200000","3","0","4","2.400000","3","3","4","3.400000","4","0","4","2.300000","1","0","3","1.800000","2","1","3","1.900000","2","0","4","2.500000","3","1041","641","987",
"11","1","9","4.200000","1","0","4","1.700000","1","3","4","3.500000","4","0","4","1.500000","1","0","2","1.300000","0","0","3","1.400000","1","0","4","2.200000","0","1079","677","1057",
"12","1","10","3.699999","1","0","3","1.800000","1","3","4","3.700000","3","0","4","1.100000","0","0","2","1.400000","2","0","2","0.600000","0","0","4","2.400000","1","1113","712","1125",
"13","1","7","3.700000","1","0","4","2.400000","3","3","4","3.600000","3","0","4","1.700000","3","0","3","1.100000","1","0","2","1.500000","0","0","4","1.400000","4","1146","747","1193",
"14","2","13","7.200001","13","0","4","2.200000","4","3","4","3.600000","4","0","3","0.600000","0","0","2","0.800000","2","0","2","1.200000","1","0","4","2.100000","0","1176","781","1258",
"15","1","11","5.000000","4","0","4","2.200000","1","4","4","4.000000","4","0","5","2.900000","0","0","3","1.100000","0","0","3","1.700000","2","0","4","1.600000","0","1204","815","1323",
"16","1","15","4.300000","5","0","4","2.200000","0","4","4","4.000000","4","0","5","3.200000","5","1","3","2.000000","2","0","3","1.900000","3","0","5","2.400000","4","1230","848","1386",
"17","1","14","5.700000","2","0","4","1.700000","1","4","5","4.100000","4","1","5","3.500000","1","0","3","1.900000","3","0","3","1.600000","0","0","4","2.200000","4","1255","881","1448",
"18","1","16","7.400000","1","0","4","2.700000","4","4","5","4.200000","4","0","5","2.500000","2","0","3","1.600000","3","0","3","1.600000","2","0","5","3.000000","2","1278","913","1508",
"19","1","18","5.700000","2","0","5","2.900000","4","4","5","4.100000","4","0","5","2.200000","0","0","2","1.600000","2","0","3","1.500000","0","0","5","2.200000","0","1301","945","1568",
"20","1","16","5.400000","2","0","5","3.000000","3","4","5","4.500000","4","0","5","3.200000","3","0","3","1.800000","3","0","3","1.300000","2","0","5","2.700000","0","1322","977","1626",
"21","1","16","7.000000","1","0","5","2.800000","2","4","5","4.200000","4","3","6","4.000000","3","0","3","1.600000","2","0","2","0.800000","2","0","6","3.900000","5","1342","1008","1682",
"22","1","20","7.800001","14","0","5","2.900000","0","4","5","4.200000","4","0","3","2.300000","3","0","2","1.300000","2","0","4","2.200000","3","0","6","3.600000","3","1361","1038","1738",
"23","1","22","8.599999","3","0","5","2.500000","1","4","5","4.500000","4","0","3","1.900000","3","0","3","1.700000","2","0","3","1.400000","2","0","5","2.700000","4","1380","1068","1792",
"24","1","23","8.800000","2","0","5","3.300000","3","4","5","4.400000","4","2","5","3.500000","5","0","3","1.600000","1","0","3","1.600000","0","0","5","2.500000","2","1397","1098","1844",
"25","1","17","8.700000","17","0","5","3.100000","5","4","5","4.500000","5","0","5","3.100000","3","0","4","2.300000","2","0","3","1.300000","1","0","6","2.900000","0","1414","1127","1896",
"26","1","20","6.100000","6","0","5","3.100000","5","4","5","4.600000","5","0","7","2.600000","0","0","4","1.200000","1","0","4","2.300000","3","0","6","2.900000","2","1431","1156","1946",
"27","1","26","14.799999","16","0","6","3.200000","0","5","5","5.000000","5","0","5","3.300000","3","0","3","2.200000","0","0","3","2.000000","0","2","6","4.400000","5","1447","1184","1994",
"28","2","18","7.000000","5","0","5","3.700000","4","4","5","4.600000","4","0","5","1.900000","5","0","4","1.900000","0","0","3","1.700000","2","0","5","2.000000","2","1462","1212","2042",
"29","1","28","6.500000","1","0","6","3.700000","4","4","5","4.600000","5","0","5","3.800000","4","0","4","2.000000","2","1","3","2.400000","2","0","5","2.700000","0","1477","1239","2088",
"30","1","21","8.300000","1","0","6","3.900000","2","4","5","4.500000","5","0","5","2.000000","1","0","3","2.100000","0","0","3","1.700000","0","0","4","2.400000","1","1491","1266","2133",
"31","1","19","8.200000","1","0","6","4.700000","5","5","5","5.000000","5","0","5","2.400000","0","0","3","2.200000","3","2","3","2.600000","3","0","5","2.800000","0","1505","1292","2176",
"32","1","23","7.900001","17","0","7","3.800000","5","5","5","5.000000","5","0","7","3.700000","0","0","3","2.300000","3","0","4","2.100000","1","0","6","2.600000","0","1518","1318","2218",
"33","1","30","8.899999","4","0","7","4.200000","6","5","6","5.100000","6","0","7","3.500000","0","0","3","1.600000","2","0","3","1.900000","3","0","5","2.300000","5","1531","1344","2259",
"34","1","29","9.700000","3","0","5","2.500000","0","5","5","5.000000","5","0","7","3.700000","2","0","3","2.400000","3","0","3","2.200000","3","0","6","3.100000","6","1544","1369","2299",
"35","1","30","8.699999","3","0","6","3.900000","1","5","6","5.100000","5","0","7","3.700000","0","0","3","2.100000","3","0","3","2.300000","3","0","5","3.900000","4","1556","1393","2337",
"36","1","30","8.900001","6","0","7","3.500000","7","5","6","5.100000","5","0","7","4.200000","5","0","3","1.300000","0","0","4","2.200000","0","0","6","3.800000","4","1568","1417","2374",
"37","1","11","5.800001","6","0","7","3.800000","0","5","6","5.100000","5","0","7","3.500000","0","1","3","2.700000","3","0","3","1.800000","0","1","6","2.700000","1","1579","1441","2409",
"38","1","28","12.000001","1","0","6","3.900000","0","5","6","5.100000","5","0","7","3.800000","5","0","3","2.300000","3","0","3","2.200000","3","0","6","2.400000","3","1591","1464","2444",
"39","1","36","9.900001","9","0","7","4.500000","4","5","6","5.200000","5","0","7","4.400000","0","0","4","2.200000","3","0","3","2.300000","3","1","5","3.200000","3","1602","1487","2477",
"40","1","37","14.099999","2","0","7","3.000000","7","5","6","5.200000","5","0","6","3.500000","6","0","3","1.800000","0","1","3","2.800000","3","0","6","2.600000","5","1612","1509","2508",
"41","3","31","15.200001","19","0","7","3.800000","0","5","6","5.500000","6","0","7","4.600000","0","0","4","1.900000","0","0","4","2.400000","3","0","6","3.500000","4","1623","1531","2539",
"42","1","18","9.099999","9","0","7","4.300000","6","3","6","4.900000","5","2","7","5.000001","5","0","4","2.100000","3","3","4","3.100000","3","1","6","3.600000","5","1633","1552","2568",
"43","1","32","12.000000","3","1","7","4.100000","4","5","6","5.500000","6","0","6","3.200000","5","0","3","2.500000","3","0","3","2.300000","1","0","6","3.000000","0","1643","1573","2595",
"44","1","7","2.600000","2","0","7","3.200000","7","5","6","5.600000","6","0","7","4.300000","0","0","3","2.300000","3","0","4","2.500000","3","0","6","2.100000","3","1653","1594","2622",
"45","1","44","10.900000","44","0","7","4.900000","7","5","6","5.600000","6","3","7","5.200001","4","0","4","2.000000","2","0","3","2.100000","1","0","6","3.200000","6","1662","1614","2647",
"46","1","28","7.899999","1","0","7","3.400000","1","5","6","5.400000","5","1","7","4.600000","5","0","4","1.800000","2","0","4","2.200000","1","0","6","1.900000","0","1672","1633","2671",
"47","1","20","7.600000","3","0","7","4.300000","2","5","6","5.600000","5","0","7","5.000000","0","0","4","2.600000","3","0","4","1.800000","3","0","6","3.400000","2","1681","1652","2693",
"48","1","39","11.000001","20","0","8","5.500000","0","5","6","5.599999","6","0","7","3.900000","0","1","4","2.900000","3","0","3","2.700000","3","0","6","3.600000","6","1690","1671","2714",
"49","1","47","15.200000","13","0","5","2.100000","0","4","6","5.599999","6","0","7","3.200000","4","1","4","2.700000","3","2","4","3.100000","4","0","6","3.000000","0","1698","1689","2734",
"50","2","33","13.099999","8","0","8","3.600000","4","5","6","5.600000","5","0","7","5.000000","2","0","4","2.700000","3","0","4","2.300000","3","1","6","3.800000","1","1707","1707","2752",
"51","2","34","10.000000","3","0","7","4.000000","7","5","6","5.800000","6","0","7","4.200000","7","0","4","2.600000","3","0","4","2.300000","2","3","6","3.800000","6","1716","1724","2770",
"52","1","33","8.800002","8","0","8","5.000000","8","5","6","5.700000","6","0","7","5.300000","3","2","4","2.900000","3","0","4","1.800000","3","0","5","2.800000","2","1724","1740","2786",
"53","1","47","15.299998","7","0","8","5.200000","6","5","6","5.600000","6","0","7","4.300000","6","0","4","2.400000","4","0","4","2.000000","3","0","6","3.700000","6","1732","1757","2800",
"54","1","43","8.899999","7","0","8","3.400000","6","5","6","5.800000","5","1","7","4.600000","7","0","4","2.200000","4","0","4","3.100000","4","2","6","3.500000","2","1740","1773","2813",
"55","1","45","15.700001","45","3","9","6.300000","5","5","6","5.700000","6","0","7","3.900000","3","0","4","2.300000","3","0","4","2.600000","4","0","6","3.400000","5","1748","1788","2825",
"56","1","21","4.700000","1","0","8","5.400000","6","5","6","5.900000","6","0","7","4.000000","5","0","4","2.700000","4","0","4","3.300000","3","0","6","3.000000","6","1755","1803","2836",
"57","1","34","10.500000","2","0","7","4.300000","6","5","6","5.700000","5","0","7","4.800000","6","0","4","2.800000","3","0","4","3.000000","3","0","6","3.100000","3","1763","1817","2845",
"58","1","37","9.700000","37","0","8","4.800001","8","5","6","5.700000","6","0","7","5.199999","6","0","4","2.700000","0","2","4","3.300000","4","0","5","3.000000","1","1770","1831","2853",
"59","1","51","17.500000","10","0","9","4.800000","3","5","6","5.800000","6","0","7","3.400000","0","0","4","2.300000","4","0","4","2.400000","1","0","6","2.900000","5","1778","1845","2860",
"60","1","38","7.800001","2","0","8","5.100000","6","6","6","6.000000","6","0","7","5.300000","6","0","4","2.500000","4","3","4","3.400000","3","0","4","2.400000","2","1785","1858","2865",
"61","1","59","15.899998","1","0","8","4.700000","4","5","6","5.800000","5","0","7","4.800000","1","0","4","2.600000","3","0","4","2.500000","3","0","5","3.200000","5","1792","1870","2869",
"62","1","19","8.500000","2","0","9","4.300000","7","5","6","5.800000","6","0","7","3.000000","0","0","4","2.800000","4","0","4","2.300000","0","0","6","2.500000","6","1799","1883","2872",
"63","1","51","17.600000","1","0","9","4.500000","4","6","6","6.000000","6","0","7","5.000000","5","0","4","1.700000","4","0","4","2.500000","3","0","6","3.500000","3","1806","1894","2874",
"64","1","62","13.799999","57","0","9","4.200000","9","6","6","6.000000","6","0","9","4.100000","3","0","4","2.800000","0","3","4","3.600000","4","2","5","3.600000","4","1812","1905","2874",
"65","2","57","26.100000","20","2","9","5.900001","3","6","6","6.000000","6","0","7","5.400000","7","3","4","3.500000","3","0","4","3.000000","4","0","6","3.300000","4","1819","1916","2873",
"66","1","62","19.799999","8","0","6","3.200000","6","6","7","6.100000","6","0","7","4.300000","0","0","4","2.800000","3","1","4","3.100000","4","0","5","2.700000","3","1826","1927","2870",
"67","1","61","18.900002","14","0","9","5.900000","7","6","7","6.100000","6","0","7","4.300000","7","0","4","2.800000","3","0","4","2.600000","4","0","6","3.000000","1","1832","1936","2866",
"68","1","62","16.600000","21","2","9","6.500000","4","6","7","6.200000","6","0","7","3.800000","7","1","4","3.300000","4","0","4","2.200000","4","0","7","3.600000","4","1838","1946","2861",
"69","3","47","21.100000","18","0","6","3.400000","5","6","6","6.000000","6","0","7","4.500000","0","0","4","2.900000","0","0","4","2.200000","4","0","5","2.500000","0","1845","1955","2855",
"70","1","66","13.599999","3","0","9","5.000000","6","6","6","6.000000","6","0","7","4.600000","7","0","4","2.800000","0","1","4","3.300000","4","0","7","2.500000","3","1851","1963","2847",
"71","1","58","21.000000","4","0","10","4.600000","0","4","6","5.800000","6","0","7","4.500000","6","0","4","2.200000","4","0","4","3.100000","4","0","6","4.000000","6","1857","1971","2838",
"72","1","9","2.600000","2","0","10","5.300000","6","6","7","6.100000","6","0","7","4.200000","5","0","4","2.200000","4","0","4","2.700000","3","2","6","4.300000","3","1863","1979","2828",
"73","1","50","15.900000","2","0","9","5.700000","5","6","7","6.300000","6","0","7","4.900000","6","0","4","3.200000","3","0","4","3.300000","0","0","6","2.400000","0","1869","1986","2816",
"74","1","69","13.700001","12","0","9","5.500000","9","6","7","6.100000","6","0","7","4.999999","7","0","4","2.500000","0","0","4","2.300000","1","0","6","3.500000","3","1875","1992","2803",
"75","1","56","13.200001","4","0","9","4.800001","0","6","7","6.200000","6","0","7","4.700000","0","1","4","3.200000","4","0","4","3.000000","4","0","6","3.300000","2","1880","1999","2788",
"76","1","38","11.099999","38","0","9","5.000000","7","6","7","6.099999","7","1","7","4.900000","5","3","4","3.800000","4","3","4","3.500000","4","1","5","3.400000","2","1886","2004","2773",
"77","1","31","9.400001","21","0","10","6.599999","4","6","6","6.000000","6","0","7","5.400000","6","0","4","2.800000","0","2","4","3.200000","2","0","6","3.200000","0","1892","2010","2756",
"78","1","44","10.799999","44","0","10","7.300000","8","5","7","6.100000","5","0","7","2.600000","0","0","4","3.100000","3","0","4","2.900000","4","0","5","2.300000","0","1897","2014","2738",
"79","1","78","22.799999","26","1","9","5.100000","8","6","7","6.299999","6","0","7","5.000000","3","0","4","2.300000","0","0","4","2.600000","4","1","5","3.500000","4","1903","2019","2718",
"80","1","66","20.400000","1","0","10","6.900000","0","6","7","6.400000","6","0","7","5.100000","7","0","4","2.900000","0","0","4","2.600000","4","0","7","4.100000","0","1908","2023","2697",
"81","1","58","16.799999","1","0","10","7.300000","9","6","7","6.100000","6","0","7","3.500000","0","0","4","2.100000","2","0","4","2.200000","4","0","6","3.100000","3","1913","2026","2675",
"82","1","72","30.799999","1","2","10","5.700000","10","6","7","6.500000","7","0","8","5.500000","7","0","4","2.600000","0","0","4","3.200000","4","0","7","2.400000","0","1919","2029","2651",
"83","1","68","17.499998","8","0","10","4.400000","2","6","7","6.399999","7","0","9","4.400000","0","0","4","3.100000","4","0","4","3.100000","4","0","6","3.900000","3","1924","2031","2627",
"84","1","54","13.999998","17","2","10","6.100000","5","5","7","6.200000","7","0","7","4.100000","3","0","4","3.100000","3","1","4","3.400000","4","0","5","3.500000","0","1929","2033","2600",
"85","1","64","17.900000","1","0","8","3.000000","0","6","7","6.299999","6","0","7","4.300000","6","0","4","2.600000","4","0","4","3.000000","4","0","6","2.500000","6","1934","2035","2573",
"86","2","73","18.699999","6","0","10","5.900000","5","6","7","6.399999","7","3","9","6.500000","7","0","4","3.200000","3","0","4","2.800000","3","3","7","4.200000","7","1939","2036","2544",
"87","1","29","12.700001","5","0","10","4.599999","7","6","7","6.300000","6","5","7","6.200000","7","0","4","2.800000","1","0","4","2.900000","3","2","7","4.400000","4","1944","2037","2514",
"88","1","78","19.299999","3","2","10","6.800000","8","6","7","6.299999","6","0","9","5.100000","0","0","4","2.900000","0","0","4","2.800000","4","0","6","2.900000","3","1949","2037","2483",
"89","1","34","10.200001","13","0","10","4.500000","0","6","7","6.400000","6","0","7","3.400000","0","0","4","2.800000","4","0","4","2.900000","1","0","7","4.000000","2","1954","2037","2450",
"90","1","51","18.099998","26","0","9","4.900000","0","6","7","6.400000","7","0","7","3.900000","7","0","4","2.800000","4","0","4","2.800000","4","3","7","4.200000","3","1959","2036","2416",
"91","1","82","20.000000","60","2","11","7.800001","8","6","7","6.400000","7","4","7","5.600000","7","0","4","3.300000","4","0","4","3.300000","4","0","5","3.100000","4","1963","2035","2381",
"92","1","21","6.500000","19","2","11","6.200000","4","6","7","6.400000","7","3","7","5.100000","3","0","4","2.700000","3","0","4","3.000000","4","0","7","3.600000","0","1968","2033","2344",
"93","1","72","24.199999","1","0","10","5.200000","10","6","7","6.700000","6","3","8","5.500000","6","0","4","3.300000","4","1","4","3.100000","1","3","6","4.400000","4","1973","2031","2306",
"94","1","75","20.000002","4","0","11","6.500000","10","6","7","6.400000","7","0","8","4.000000","3","0","4","2.700000","4","0","4","3.200000","2","0","5","3.100000","0","1977","2029","2267",
"95","1","92","35.000000","56","2","11","7.900001","4","6","7","6.599999","7","0","7","5.000000","7","0","5","2.700000","0","0","5","3.400000","2","0","4","1.900000","3","1982","2026","2226",
"96","1","46","14.400001","1","0","10","3.600000","4","6","7","6.500000","6","0","7","4.900001","6","0","5","2.800000","5","0","4","2.900000","2","1","5","3.300000","5","1986","2022","2184",
"97","1","69","23.100000","15","3","11","6.600000","5","6","7","6.500000","7","0","8","5.600000","6","0","4","3.400000","4","0","4","2.000000","4","0","6","3.400000","3","1991","2018","2141",
"98","1","83","37.700001","6","0","10","5.199999","2","6","7","6.899999","7","0","8","5.100000","4","0","5","3.100000","3","0","4","3.200000","3","1","7","4.500000","3","1995","2014","2097",
"99","3","66","22.599998","19","0","11","6.700000","6","6","7","6.699999","6","0","9","4.000000","5","0","4","3.100000","3","0","4","2.400000","2","0","7","3.800000","4","2000","2009","2051",
"100","2","72","30.299999","72","0","11","6.100000","6","6","7","6.699999","7","3","9","6.500000","6","0","4","2.200000","4","0","5","2.900000","0","2","5","3.700000","3","2004","2004","2004",
