"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","570","570","283",
"2","1","2","1.500000","1","0","0","0.000000","0","1","2","1.400000","1","0","1","0.100000","1","0","0","0.000000","0","0","0","0.000000","0","0","1","0.200000","0","582","577","321",
"3","1","3","2.100000","3","0","1","0.300000","0","2","2","2.000000","2","0","1","0.200000","0","0","0","0.000000","0","0","0","0.000000","0","0","1","0.100000","0","631","584","358",
"4","1","4","2.900000","2","0","1","0.100000","0","2","3","2.300000","2","0","2","0.300000","0","0","1","0.500000","0","0","2","0.300000","0","0","2","0.600000","0","634","592","395",
"5","1","5","3.000000","1","0","2","0.400000","1","2","3","2.600000","2","0","2","0.400000","0","0","2","0.400000","0","0","2","0.600000","0","0","2","0.200000","0","638","599","432",
"6","1","6","4.200000","3","0","2","0.500000","1","2","3","2.800000","3","0","3","1.200000","2","0","1","0.300000","0","0","3","0.900000","3","0","3","0.600000","0","660","607","468",
"7","1","7","4.400000","7","0","3","0.900000","0","3","3","3.000000","3","0","3","1.600000","3","0","3","0.500000","0","0","2","0.400000","0","0","3","0.600000","0","663","615","503",
"8","1","8","4.800000","8","0","4","0.800000","0","3","4","3.400000","4","0","4","1.200000","1","0","3","0.500000","0","0","2","0.500000","0","0","3","1.400000","3","718","622","539",
"9","1","9","4.400000","8","0","4","1.100000","2","3","4","3.300000","4","0","5","1.500000","1","0","3","0.600000","1","0","2","1.300000","2","0","3","0.600000","0","730","630","573",
"10","1","10","5.600000","8","0","4","0.700000","0","3","4","3.300000","3","0","3","1.300000","1","0","2","0.200000","0","0","3","1.000000","3","0","3","0.600000","0","732","638","607",
"11","1","11","5.900000","11","0","3","1.300000","0","3","4","3.500000","3","0","3","0.800000","0","0","2","0.400000","0","0","4","1.000000","0","0","4","1.100000","0","735","646","641",
"12","1","12","6.000000","12","0","3","1.500000","2","3","4","3.700000","4","0","3","1.100000","2","0","2","0.300000","1","0","2","0.900000","2","0","4","1.100000","3","736","653","674",
"13","1","13","5.600000","1","0","4","1.300000","4","3","4","3.900000","4","0","4","1.300000","0","0","2","0.500000","2","0","4","1.600000","3","0","5","0.900000","0","739","661","706",
"14","1","14","8.700000","14","0","3","0.300000","0","3","4","3.900000","4","0","3","1.100000","3","0","3","0.800000","0","0","3","0.900000","0","0","4","0.900000","4","743","669","738",
"15","1","15","9.199999","4","0","2","0.600000","0","4","4","4.000000","4","0","3","0.700000","1","0","2","0.500000","0","0","3","1.100000","0","0","7","2.000000","5","749","677","770",
"16","1","16","9.700001","1","0","3","1.500000","3","4","5","4.300000","5","0","5","2.300000","0","0","3","1.600000","3","0","4","0.600000","0","0","4","0.500000","0","749","685","801",
"17","2","17","10.000000","4","0","4","0.900000","0","4","5","4.400000","4","0","4","2.100000","4","0","3","1.800000","2","0","3","0.900000","0","0","3","0.800000","1","752","693","832",
"18","1","18","13.900000","18","0","4","1.800000","2","4","5","4.300000","4","0","4","1.500000","1","0","3","1.400000","2","0","2","0.600000","2","0","4","1.500000","3","754","701","862",
"19","1","19","12.200000","19","0","3","1.000000","0","4","5","4.600000","4","0","5","2.300000","0","0","3","1.300000","0","0","3","0.700000","0","0","5","1.800000","0","755","710","891",
"20","1","20","11.100000","17","0","3","1.000000","0","4","5","4.600000","5","0","4","1.100000","0","0","5","1.900000","2","0","3","1.500000","2","0","5","1.300000","0","758","718","920",
"21","1","21","11.299999","20","0","5","1.700000","3","4","5","4.400000","5","0","5","2.100000","0","0","3","1.200000","0","0","4","0.900000","0","0","5","1.900000","3","784","726","949",
"22","1","22","12.000000","1","0","5","1.700000","2","4","5","4.500000","4","0","4","1.100000","0","0","4","1.600000","4","0","2","0.300000","0","0","6","3.300000","6","789","734","977",
"23","2","23","17.199999","23","0","8","2.500000","5","4","5","4.700000","5","0","3","1.600000","0","0","4","1.700000","0","0","4","1.000000","4","0","5","2.200000","0","798","743","1004",
"24","1","24","16.300001","24","0","5","2.200000","0","4","5","4.600000","4","0","5","1.900000","0","0","4","1.000000","3","0","3","0.900000","2","0","8","2.200000","8","806","751","1031",
"25","1","25","14.400001","1","0","4","1.200000","0","4","5","4.900000","5","0","3","1.300000","0","0","4","2.000000","1","0","4","0.700000","0","0","5","2.700000","3","808","759","1058",
"26","1","26","9.600000","1","0","5","1.300000","0","4","5","4.700000","5","0","5","1.400000","0","0","5","1.500000","1","0","3","1.000000","0","0","6","2.900000","0","813","768","1084",
"27","1","27","14.299999","1","0","5","1.900000","3","4","5","4.700000","5","0","5","1.600000","5","0","3","0.700000","0","0","5","2.000000","3","0","6","1.200000","0","822","776","1109",
"28","1","28","14.700000","28","0","3","0.700000","0","4","5","4.700000","4","0","5","1.600000","1","0","3","1.200000","3","0","5","1.500000","3","0","5","1.800000","0","838","785","1135",
"29","1","29","14.600001","1","0","6","1.700000","3","5","5","5.000000","5","0","4","1.100000","0","0","4","0.900000","0","0","5","1.300000","4","0","5","1.800000","4","846","794","1159",
"30","1","30","10.900000","1","0","5","1.400000","2","4","5","4.600000","5","0","5","2.800000","3","0","4","1.000000","4","0","4","0.500000","0","0","6","3.700000","1","863","802","1183",
