"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0",
"2","2","2","2.000000","2","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","0","0","1",
"3","2","3","2.900000","3","1","1","1.000000","1","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","1","1","1.000000","1","0","0","4",
"4","2","4","3.400000","3","1","2","1.500000","1","2","3","2.400000","3","1","2","1.600000","1","1","2","1.300000","1","1","2","1.300000","2","1","2","1.900000","2","1","1","7",
"5","3","5","4.300000","5","1","3","2.200000","2","2","3","2.800000","3","1","3","1.500000","1","1","2","1.800000","2","1","2","1.500000","1","2","2","2.000000","2","3","3","10",
"6","3","6","5.200000","6","1","3","1.600000","2","3","3","3.000000","3","1","3","2.200000","3","1","2","1.500000","2","1","2","1.700000","1","2","3","2.800000","3","5","4","13",
"7","5","7","6.200000","7","1","3","1.900000","1","3","3","3.000000","3","1","3","2.400000","3","1","2","1.600000","2","1","2","1.700000","1","2","3","2.800000","3","7","7","17",
"8","4","7","5.800000","4","1","3","2.100000","3","3","4","3.500000","3","1","4","2.300000","4","1","2","1.600000","2","1","2","1.700000","2","2","3","2.900000","3","9","9","21",
"9","3","8","6.300000","7","1","4","3.000000","3","3","4","3.299999","3","1","4","2.700000","3","1","2","1.800000","2","1","2","1.900000","2","3","3","3.000000","3","13","12","26",
"10","3","10","8.199999","10","1","4","2.400000","3","3","4","3.600000","3","1","4","2.700000","3","1","2","1.800000","2","1","2","1.900000","2","3","4","3.700000","4","16","16","31",
"11","5","11","8.600000","11","1","4","2.800000","2","3","4","3.500000","3","1","4","2.800000","3","1","2","1.800000","2","1","2","1.700000","1","1","4","3.100000","3","20","20","36",
"12","5","12","8.600000","8","1","3","2.500000","3","4","4","4.000000","4","1","5","3.300000","3","2","2","2.000000","2","2","2","2.000000","2","1","5","3.300000","4","24","24","42",
"13","5","13","9.500000","13","1","3","2.400000","1","3","4","3.900000","4","3","5","3.600000","5","1","2","1.700000","2","1","2","1.900000","2","1","5","3.600000","1","29","28","48",
"14","6","14","10.400001","6","1","5","3.200000","5","4","4","4.000000","4","2","5","3.100000","3","2","2","2.000000","2","1","2","1.900000","2","1","5","4.100000","5","34","34","54",
"15","8","15","11.500001","15","1","5","3.200000","2","4","4","4.000000","4","3","5","3.600000","3","1","2","1.900000","2","1","2","1.900000","2","1","5","3.000000","1","39","39","61",
"16","7","16","12.200001","16","3","5","3.400000","3","4","5","4.100000","4","1","5","3.000000","3","1","2","1.900000","2","1","2","1.900000","2","1","5","3.400000","4","45","45","68",
"17","9","17","13.200000","16","1","5","3.300000","4","4","5","4.300000","5","1","6","2.900000","3","1","2","1.900000","1","2","2","2.000000","2","2","5","4.100000","4","52","51","76",
"18","2","15","10.099998","14","1","5","2.700000","1","4","5","4.500000","5","0","6","3.300000","3","2","2","2.000000","2","1","2","1.900000","2","2","5","3.300000","2","58","58","84",
"19","3","19","13.900000","17","2","5","3.900000","3","4","5","4.300000","4","1","6","3.400000","5","1","2","1.900000","2","2","2","2.000000","2","1","6","4.000000","3","66","65","92",
"20","5","19","12.499999","12","3","5","3.700000","5","4","5","4.500000","5","1","6","3.700000","4","1","2","1.900000","2","1","2","1.900000","2","1","5","3.200000","1","73","73","100",
"21","7","21","16.299999","19","1","5","4.100000","5","4","5","4.700000","5","3","6","4.100000","3","2","2","2.000000","2","1","2","1.800000","2","1","5","2.600000","1","81","81","109",
"22","13","22","17.300001","18","3","5","3.800000","5","4","5","4.500000","5","1","6","3.100000","6","1","2","1.900000","2","1","2","1.800000","1","1","4","2.400000","1","89","89","119",
"23","10","23","17.100000","10","1","6","3.700000","1","4","5","4.500000","4","1","6","3.000000","2","1","2","1.900000","2","2","2","2.000000","2","2","6","3.600000","2","98","98","129",
"24","7","23","16.400002","12","2","6","3.500000","3","4","5","4.900000","4","3","5","3.600000","3","2","2","2.000000","2","2","2","2.000000","2","2","6","3.600000","6","107","107","139",
"25","9","25","17.200001","15","2","6","3.700000","5","4","5","4.900000","5","3","5","3.500000","4","2","2","2.000000","2","1","2","1.800000","2","1","6","3.500000","6","117","116","149",
"26","5","26","16.600000","22","3","6","4.100000","6","5","5","5.000000","5","1","6","3.900000","6","2","2","2.000000","2","2","2","2.000000","2","2","6","3.900000","3","127","126","160",
"27","6","26","16.699999","13","2","4","3.300000","4","4","5","4.700001","4","3","6","3.900000","3","1","2","1.900000","2","1","2","1.500000","2","1","6","3.100000","3","137","137","172",
"28","19","28","24.099998","21","3","6","3.800000","3","4","5","4.900000","5","3","6","4.300000","6","1","2","1.900000","1","2","2","2.000000","2","3","6","5.000000","6","148","148","183",
"29","4","28","18.099998","23","3","5","3.800000","3","5","5","5.000000","5","1","6","3.800000","1","1","2","1.800000","1","2","2","2.000000","2","2","5","2.900000","2","159","159","195",
"30","4","28","19.299999","4","1","5","3.400000","3","5","5","5.000000","5","3","7","4.800000","3","0","2","1.600000","2","1","2","1.800000","2","1","6","3.500000","4","171","170","208",
"31","8","31","21.400000","31","1","4","3.400000","4","5","5","5.000000","5","2","4","3.200000","3","2","2","2.000000","2","2","2","2.000000","2","2","6","3.900000","2","183","182","220",
"32","15","30","22.499998","28","2","5","3.600000","3","5","5","5.000000","5","1","6","4.100000","6","2","2","2.000000","2","2","2","2.000000","2","2","6","4.900000","6","196","195","233",
"33","5","32","17.800001","32","2","5","3.400000","3","5","6","5.200000","5","3","7","4.900000","5","1","2","1.900000","2","1","2","1.900000","2","1","6","3.200000","2","208","208","247",
"34","3","32","21.400000","30","2","6","3.700000","4","5","6","5.300000","6","2","6","3.700000","5","2","2","2.000000","2","1","2","1.900000","2","2","6","4.000000","4","222","221","261",
"35","3","35","26.400002","35","3","6","4.000000","5","5","6","5.200000","6","1","8","4.800001","3","2","2","2.000000","2","2","2","2.000000","2","2","6","3.700000","2","235","235","275",
"36","10","36","24.299999","34","1","6","3.000000","1","5","6","5.400000","5","3","7","3.900000","6","2","2","2.000000","2","1","2","1.900000","2","2","6","3.800000","2","249","249","290",
"37","13","35","25.599998","35","1","6","3.600000","6","5","6","5.500000","5","2","6","4.300000","5","1","2","1.900000","1","1","2","1.900000","2","2","6","3.300000","6","264","263","305",
"38","11","35","25.099998","29","2","4","3.400000","4","5","6","5.400000","5","1","6","3.300000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","4.300000","6","279","278","320",
"39","4","37","19.000000","26","3","6","4.300000","4","5","6","5.300000","6","2","6","3.700000","6","2","2","2.000000","2","2","2","2.000000","2","2","7","4.700000","2","294","293","336",
"40","20","39","27.400002","29","1","7","4.199999","7","5","6","5.200000","6","1","8","4.000000","4","2","2","2.000000","2","1","2","1.900000","2","1","7","3.500000","7","310","309","352",
"41","13","41","28.699997","13","3","5","3.600000","3","5","6","5.600000","6","1","8","4.100000","6","1","2","1.900000","2","2","2","2.000000","2","2","7","3.600000","7","326","325","368",
"42","7","42","26.900003","7","3","5","3.900000","4","4","6","5.599999","6","3","8","5.300000","3","2","2","2.000000","2","1","2","1.800000","2","2","6","3.600000","3","343","342","385",
"43","8","34","21.300001","30","1","7","4.000000","7","5","6","5.500000","5","1","6","3.800000","3","1","2","1.800000","2","2","2","2.000000","2","2","7","4.700000","6","359","359","402",
"44","18","44","30.799997","18","3","5","3.800000","5","5","6","5.400001","6","1","6","4.300000","4","1","2","1.800000","2","1","2","1.900000","2","1","6","3.000000","6","377","376","420",
"45","13","44","31.199999","35","3","6","4.300000","5","5","6","5.500000","6","3","7","4.300000","4","2","2","2.000000","2","2","2","2.000000","2","2","6","3.200000","4","395","394","438",
"46","11","44","30.100002","36","3","5","3.500000","3","5","6","5.600000","6","1","6","3.900000","6","2","2","2.000000","2","1","2","1.900000","2","0","7","3.200000","0","413","412","456",
"47","15","38","31.100000","15","3","6","4.000000","6","6","6","6.000000","6","3","8","4.900000","5","2","2","2.000000","2","2","2","2.000000","2","2","6","3.200001","2","431","430","475",
"48","10","48","34.099998","21","3","5","3.600000","3","5","6","5.700000","5","1","8","5.100000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","3.800000","3","450","449","494",
"49","12","47","33.099998","46","3","8","4.600000","5","5","6","5.900000","6","1","7","4.000000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","4.600000","7","470","469","514",
"50","15","49","37.400002","49","1","7","4.000000","3","5","6","5.500000","5","1","6","3.600000","3","2","2","2.000000","2","1","2","1.800000","2","2","7","4.400000","4","489","489","533",
"51","10","51","41.199997","48","3","8","4.700000","3","5","6","5.800000","6","3","7","4.600001","3","1","2","1.900000","2","2","2","2.000000","2","2","7","4.200000","4","510","509","554",
"52","15","47","32.099998","35","3","6","3.600000","4","5","6","5.900000","6","3","7","5.000000","6","2","2","2.000000","2","2","2","2.000000","2","2","7","4.500000","6","530","529","574",
"53","23","53","44.200001","52","1","7","4.100000","4","5","6","5.800000","6","3","8","4.300000","3","2","2","2.000000","2","1","2","1.900000","1","2","7","3.700000","3","551","550","595",
"54","23","49","35.700001","47","3","8","5.100000","5","5","6","5.900000","6","3","8","5.600000","7","1","2","1.800000","2","2","2","2.000000","2","1","7","4.500000","6","573","572","616",
"55","15","49","35.000000","29","1","7","4.200000","7","4","6","5.800000","6","3","7","4.700000","4","2","2","2.000000","2","2","2","2.000000","2","1","7","4.500000","6","595","594","638",
"56","18","54","36.099998","18","3","7","4.700000","4","6","6","6.000000","6","1","7","4.000000","3","2","2","2.000000","2","1","2","1.900000","1","2","7","4.100000","2","617","616","660",
"57","19","52","34.399994","37","3","5","3.900000","4","5","6","5.900000","6","1","8","4.299999","5","2","2","2.000000","2","2","2","2.000000","2","2","7","3.700000","6","639","639","683",
"58","7","52","32.400002","40","1","7","3.800000","6","6","6","6.000000","6","3","8","5.200000","7","1","2","1.900000","2","2","2","2.000000","2","2","7","4.500000","7","662","662","705",
"59","18","59","42.400002","50","1","6","3.600000","3","5","6","5.900000","6","1","8","4.000000","6","2","2","2.000000","2","2","2","2.000000","2","1","4","2.500000","2","686","685","729",
"60","9","60","39.199997","9","1","7","4.600000","4","5","6","5.900000","6","1","7","4.200000","1","1","2","1.900000","1","2","2","2.000000","2","1","7","3.300000","1","710","709","752",
"61","10","57","43.000000","27","2","8","4.500000","6","6","6","6.000000","6","3","5","4.100000","4","2","2","2.000000","2","2","2","2.000000","2","2","7","3.500000","2","734","733","776",
"62","9","52","41.100002","52","1","5","3.700000","5","6","6","6.000000","6","3","7","4.900001","3","1","2","1.800000","2","2","2","2.000000","2","2","7","4.800000","3","759","758","800",
"63","13","63","36.399998","26","3","10","5.300000","6","5","6","5.900000","6","3","6","4.300000","6","2","2","2.000000","2","2","2","2.000000","2","3","7","5.500000","7","784","783","825",
"64","12","64","42.000000","64","0","7","4.200000","3","6","7","6.200000","6","2","6","3.900000","6","2","2","2.000000","2","0","2","1.800000","2","2","7","3.800000","3","809","809","850",
"65","17","63","47.700001","55","3","8","3.900000","3","6","7","6.100000","6","2","5","3.500000","3","2","2","2.000000","2","1","2","1.900000","1","2","7","2.800000","2","835","834","876",
"66","25","66","48.100002","41","3","8","4.800000","3","6","7","6.099999","7","3","8","5.000000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","4.000000","3","862","861","901",
"67","13","66","48.000000","27","2","7","4.400000","4","6","7","6.100000","6","3","7","4.600000","6","2","2","2.000000","2","1","2","1.900000","1","2","7","4.900000","2","888","888","928",
"68","22","63","50.899998","61","1","6","3.700000","1","4","6","5.800000","6","3","8","5.200000","3","0","2","1.800000","2","1","2","1.800000","2","2","7","4.100000","7","916","915","954",
"69","19","67","47.099998","57","3","8","5.100000","3","6","6","6.000000","6","2","7","4.200000","6","2","2","2.000000","2","2","2","2.000000","2","2","8","5.800000","5","943","942","981",
"70","31","66","51.500004","46","3","7","4.000000","6","4","7","6.000000","6","3","8","5.100001","3","2","2","2.000000","2","1","2","1.900000","2","0","7","3.100000","7","971","970","1008",
"71","31","59","44.500000","59","2","6","4.100000","5","5","7","6.000000","6","2","8","4.600000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","4.300000","6","999","999","1036",
"72","8","72","55.699997","46","3","6","4.200000","6","6","7","6.200000","6","3","7","4.500000","7","2","2","2.000000","2","2","2","2.000000","2","3","8","4.400001","3","1028","1027","1064",
"73","18","73","48.800003","55","3","8","5.000000","8","6","7","6.200000","6","3","7","3.900000","3","2","2","2.000000","2","2","2","2.000000","2","1","8","3.300000","2","1057","1057","1092",
"74","14","67","46.400002","67","3","7","4.700000","6","6","7","6.400000","6","1","9","5.300000","5","2","2","2.000000","2","2","2","2.000000","2","1","9","4.000000","3","1087","1086","1121",
"75","30","73","53.900002","31","3","7","4.400000","4","6","7","6.300000","7","3","8","5.200000","7","2","2","2.000000","2","2","2","2.000000","2","2","7","4.100000","3","1117","1116","1150",
"76","10","74","56.299999","71","3","8","5.100000","8","6","7","6.500000","7","3","8","4.900000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","3.900000","5","1147","1147","1180",
"77","15","76","51.000000","15","3","5","3.900000","5","3","7","6.000000","7","3","7","5.400000","7","2","2","2.000000","2","2","2","2.000000","2","2","7","3.100000","3","1178","1177","1210",
"78","12","78","48.800003","12","3","8","4.900001","3","5","7","6.100000","6","3","8","5.700000","8","1","2","1.900000","2","1","2","1.900000","2","1","7","3.900000","4","1209","1209","1240",
"79","7","71","49.500000","70","1","9","4.600000","3","5","7","6.300000","5","3","8","5.300001","5","2","2","2.000000","2","2","2","2.000000","2","2","7","4.400000","7","1241","1240","1270",
"80","3","79","55.900002","54","3","7","4.200000","3","6","7","6.500000","6","3","7","4.600000","6","1","2","1.900000","1","2","2","2.000000","2","2","7","4.200000","7","1273","1272","1301",
"81","38","81","56.699997","81","2","6","4.200000","4","6","7","6.599999","7","3","8","4.800000","8","2","2","2.000000","2","2","2","2.000000","2","2","7","4.900000","3","1305","1305","1333",
"82","46","81","63.899994","46","4","8","5.500000","4","6","7","6.699999","7","3","8","5.000000","5","2","2","2.000000","2","2","2","2.000000","2","1","8","4.500000","7","1338","1338","1365",
"83","5","80","49.000008","64","3","10","4.400000","4","6","7","6.500000","6","3","8","5.300001","3","2","2","2.000000","2","2","2","2.000000","2","2","6","3.000000","4","1372","1371","1397",
"84","36","84","63.800003","81","3","9","4.900000","4","6","7","6.599999","7","1","7","4.700000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","4.200000","7","1405","1405","1429",
"85","25","78","59.900002","78","1","9","4.100000","3","6","7","6.399999","7","1","7","4.000000","7","2","2","2.000000","2","2","2","2.000000","2","2","7","4.100000","7","1439","1439","1462",
