"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"1","1","1","1.000000","1","0","0","0.000000","0","1","1","1.000000","1","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","0","0","0.000000","0","13","13","13",
"2","1","2","1.300000","1","0","1","0.300000","0","1","2","1.400000","1","0","1","0.200000","0","0","0","0.000000","0","0","0","0.000000","0","0","1","0.200000","0","27","28","38",
"3","1","3","2.400000","1","0","1","0.400000","0","2","2","2.000000","2","0","1","0.300000","0","0","0","0.000000","0","0","0","0.000000","0","0","1","0.700000","1","40","43","64",
"4","1","4","3.300000","4","0","2","0.600000","0","2","3","2.300000","2","0","2","0.600000","2","0","2","0.800000","1","0","2","0.300000","0","0","2","0.600000","2","43","58","89",
"5","2","5","3.300000","4","0","2","0.900000","1","2","3","2.900000","3","0","2","1.000000","1","0","2","0.800000","2","0","2","1.200000","1","0","2","1.400000","2","66","74","114",
"6","1","6","4.200000","5","0","3","1.300000","0","2","3","2.700000","3","0","3","2.100000","3","0","3","1.500000","2","0","1","0.600000","0","0","3","1.100000","0","119","89","139",
"7","1","7","4.200000","5","0","2","1.300000","1","3","3","3.000000","3","0","3","2.500000","3","0","4","1.200000","2","0","3","1.600000","2","2","3","2.900000","3","141","105","164",
"8","2","8","5.500000","7","0","4","2.000000","3","3","4","3.300000","3","0","4","2.000000","4","1","2","1.900000","2","0","3","1.700000","3","0","3","2.400000","3","153","121","189",
"9","1","9","6.000000","9","0","3","1.600000","3","3","4","3.400000","3","2","4","3.200000","3","0","2","0.500000","0","0","3","1.800000","2","0","3","2.100000","3","201","137","214",
"10","2","10","6.100000","3","2","4","2.400000","4","3","4","3.300000","3","0","3","1.600000","3","0","5","2.000000","1","0","2","1.600000","2","0","4","2.500000","0","244","153","239",
"11","1","11","5.400000","9","0","4","2.200000","0","3","4","3.600000","4","1","5","2.800000","1","0","3","1.500000","3","0","3","2.100000","2","0","4","2.100000","0","293","169","263",
"12","1","12","6.800000","7","1","3","2.300000","2","3","4","3.500000","4","1","4","2.900000","1","1","4","2.200000","3","0","3","1.600000","1","0","4","2.100000","0","299","185","288",
"13","3","13","8.500000","10","0","4","2.100000","4","3","4","3.800000","4","0","5","3.100000","5","1","4","2.600000","2","0","4","1.900000","2","0","7","3.300000","4","331","201","312",
"14","3","13","6.800000","7","0","4","1.600000","3","4","4","4.000000","4","0","5","2.900000","5","0","4","2.300000","2","0","3","1.900000","2","0","4","2.500000","2","339","218","337",
"15","2","15","9.400001","10","0","3","2.200000","2","4","4","4.000000","4","0","4","2.000000","1","0","3","1.700000","3","0","3","1.800000","2","0","7","3.100000","5","348","234","361",
"16","4","16","10.800001","12","0","4","2.600000","3","4","5","4.100000","4","0","5","2.700000","4","0","4","2.400000","2","0","4","2.200000","3","0","5","2.500000","5","354","251","385",
"17","2","15","8.000000","14","1","4","2.700000","3","4","5","4.100000","4","1","5","2.900000","4","1","4","2.600000","2","0","5","2.200000","0","0","5","3.200000","3","363","267","409",
"18","3","18","10.000000","9","0","4","2.300000","3","4","5","4.400000","5","1","4","2.800000","3","0","4","2.500000","3","0","4","2.300000","4","0","7","3.700000","4","439","284","432",
"19","1","19","10.200000","1","1","4","2.000000","2","4","5","4.500000","5","0","5","2.500000","5","1","4","2.800000","3","2","5","2.700000","4","0","6","2.600000","0","446","301","456",
"20","5","20","11.799999","10","0","4","2.700000","4","4","5","4.500000","5","0","5","3.100000","5","0","4","2.100000","3","0","3","1.600000","2","2","5","3.900000","5","461","318","480",
"21","6","21","16.400000","16","0","5","2.200000","2","4","5","4.600000","4","1","5","2.800000","3","1","5","2.600000","2","0","4","2.500000","2","1","7","3.400000","4","467","335","503",
"22","1","22","10.800000","10","0","3","2.300000","0","4","5","4.400000","5","0","5","2.600000","3","1","4","2.600000","3","1","4","2.600000","4","3","6","4.000000","4","479","352","526",
"23","1","20","9.200000","12","1","4","2.200000","2","3","5","4.500000","3","1","6","3.500000","5","2","4","2.800000","2","0","5","2.400000","2","0","5","3.100000","4","503","369","550",
"24","1","24","14.900000","14","1","4","2.700000","2","4","5","4.400000","4","0","6","3.100000","4","0","4","2.300000","3","0","4","2.200000","2","0","8","4.700000","0","511","387","573",
"25","3","25","18.600000","22","1","5","2.600000","2","5","5","5.000000","5","0","5","3.400000","3","1","6","2.900000","3","0","4","1.900000","0","2","8","4.600000","3","515","404","596",
"26","2","26","12.200000","5","0","6","2.800000","2","4","5","4.800001","5","0","6","3.600000","3","2","4","3.000000","3","0","5","2.400000","5","0","8","4.500000","8","534","422","618",
"27","2","24","14.200000","9","2","7","3.600000","5","4","5","4.900000","5","1","7","4.200000","7","0","4","3.100000","3","2","4","2.800000","3","0","5","2.700000","3","595","439","641",
"28","3","27","13.599999","20","2","5","3.100000","5","4","5","4.900000","5","0","5","3.800000","5","1","4","2.300000","4","0","3","1.700000","2","2","7","4.700000","2","602","457","664",
"29","2","25","13.300000","4","2","6","3.600000","2","4","5","4.800000","5","3","7","4.700000","4","1","4","2.300000","1","1","5","3.200000","4","0","5","2.600000","5","611","475","686",
"30","1","30","15.700000","27","2","5","3.100000","2","5","5","5.000000","5","0","7","3.700000","3","2","4","3.100000","4","0","4","2.700000","4","0","8","3.600000","8","641","493","709",
"31","4","31","18.300001","4","2","5","3.200000","3","5","5","5.000000","5","0","7","3.300000","3","1","4","2.600000","3","0","4","2.400000","0","0","9","3.400000","0","654","511","731",
"32","7","31","21.699999","15","0","5","2.800000","5","5","6","5.200000","6","1","6","3.500000","3","2","3","2.300000","2","0","4","1.800000","0","0","8","3.500000","4","674","529","753",
"33","5","29","17.300003","27","0","4","2.100000","0","5","6","5.100000","5","0","7","4.000000","6","2","4","2.500000","3","2","5","2.800000","2","0","5","3.500000","3","682","547","775",
"34","2","32","17.400002","32","2","3","2.300000","3","5","6","5.400000","5","1","7","4.200000","5","0","4","2.500000","2","0","4","2.200000","2","3","8","4.700000","5","686","566","797",
"35","6","30","17.700001","6","2","5","3.200000","3","5","6","5.200000","5","3","8","4.700000","3","2","4","2.700000","2","1","4","2.600000","3","0","7","4.000000","5","698","584","819",
